URI,Label,Comment,Superclasses,EquivalentClasses
https://w3id.org/saref#Actuator,Actuator,A device responsible for moving or controlling a mechanism or system by performing an actuating function,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/ControlDevice"", {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_channel"", ""someValuesFrom"": ""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Channel""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/has_sensor"", ""someValuesFrom"": ""https://w3id.org/saref#Sensor""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/located_in"", ""someValuesFrom"": ""https://w3id.org/saref#BuildingRelated""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/object_properties/sub_category"", ""someValuesFrom"": ""https://w3id.org/saref#Device""}, {""onProperty"": ""https://w3id.org/saref#hasFunction"", ""someValuesFrom"": ""https://w3id.org/saref#ActuatingFunction""}, {""onProperty"": ""https://w3id.org/saref#isMeasuredIn"", ""someValuesFrom"": ""https://w3id.org/saref#Measurement""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/listening"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#boolean""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/readable_name"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/sample_interval"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#int""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/sample_rate"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#int""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/writable"", ""someValuesFrom"": ""http://www.w3.org/2001/XMLSchema#boolean""}, {""onProperty"": ""https://sargon-n5geh.netlify.app/ontology/1.0/data_properties/address"", ""http://www.w3.org/2002/07/owl#hasValue"": ""Geo:json""}]",
https://saref.etsi.org/saref4bldg/Actuator,Actuator,"An actuator is a mechanical device for moving or controlling a mechanism or system. An actuator takes energy, usually created by air, electricity, or liquid, and converts that into some kind of motion.","[""https://saref.etsi.org/core/Actuator"", ""https://saref.etsi.org/saref4bldg/DistributionControlDevice"", {""onProperty"": ""https://saref.etsi.org/saref4bldg/failPosition"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/manualOverride"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#boolean""}]",
https://w3id.org/respond#AirConditioner,Air Conditioner,A machine that keeps the air in a building cool.,"[""https://w3id.org/saref#Appliance""]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_flow_sensor,Air flow sensor,,"[""https://w3id.org/saref#Sensor"", {""onProperty"": ""https://w3id.org/saref#consistsOf"", ""someValuesFrom"": ""https://w3id.org/saref#Sensor""}, {""onProperty"": ""https://w3id.org/saref#hasFunction"", ""someValuesFrom"": ""https://w3id.org/saref#SensingFunction""}, {""onProperty"": ""https://w3id.org/saref#measuresProperty"", ""someValuesFrom"": ""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Flow""}, {""onProperty"": ""https://w3id.org/saref#accomplishes"", ""http://www.w3.org/2002/07/owl#hasValue"": ""https://w3id.org/saref#Comfort""}]",
https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_to_air_heat_recovery,Air to air heat recovery,,"[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Energy_conversion_device""]",
https://saref.etsi.org/saref4bldg/AirToAirHeatRecovery,Air to air heat recovery,"An air-to-air heat recovery device employs a counter-flow heat exchanger between inbound and outbound air flow. It is typically used to transfer heat from warmer air in one chamber to cooler air in the second chamber (i.e., typically used to recover heat from the conditioned air being exhausted and the outside air being supplied to a building), resulting in energy savings from reduced heating (or cooling) requirements.","[""https://saref.etsi.org/saref4bldg/EnergyConversionDevice"", {""onProperty"": ""https://saref.etsi.org/saref4bldg/operationTemperatureMax"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/operationTemperatureMin"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/primaryAirFlowRateMax"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/primaryAirFlowRateMin"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/secondaryAirFlowRateMax"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/secondaryAirFlowRateMin"", ""allValuesFrom"": ""https://saref.etsi.org/core/Measurement""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/hasDefrost"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#boolean""}, {""onProperty"": ""https://saref.etsi.org/saref4bldg/heatTransferTypeEnum"", ""allValuesFrom"": ""http://www.w3.org/2001/XMLSchema#string""}]","[""https://sargon-n5geh.netlify.app/ontology/1.0/classes/Air_to_air_heat_recovery""]"
https://saref.etsi.org/saref4bldg/Alarm,Alarm,"An alarm is a device that signals the existence of a condition or situation that is outside the boundaries of normal expectation or that activates such a device.

Alarms include the provision of break glass buttons and manual pull boxes that are used to activate alarms.","[""https://saref.etsi.org/saref4bldg/DistributionControlDevice""]",
https://w3id.org/respond#AlarmProperty,Alarm,A warning of danger or potential undesired situation.,"[""https://w3id.org/saref#Property""]",
https://w3id.org/sbeo#AlertingDevice,Alerting Device,Alerting devices are those devices that are used to react to normal as well as alarming situations to let people know that some specific condition is occuring.,"[""https://w3id.org/sbeo#Device""]",
https://w3id.org/sbeo#AlertingDeviceForImpairedPerson,Alerting Device For Impaired Person,An alerting device that is used to assist or notify people with impairments during a specific circumstance.,"[""https://w3id.org/sbeo#AlertingDevice""]",
